C,Gamma,Accuracy
0.001,0.001,0.75
0.001,0.01,0.75
0.001,0.1,0.75
0.001,0.5,0.75
0.001,1.0,0.75
0.001,2.0,0.75
0.001,5.0,0.75
0.001,10.0,0.75
0.001,50.0,0.75
0.001,100.0,0.75
0.01,0.001,0.75
0.01,0.01,0.7794117647058824
0.01,0.1,0.75
0.01,0.5,0.75
0.01,1.0,0.75
0.01,2.0,0.75
0.01,5.0,0.75
0.01,10.0,0.75
0.01,50.0,0.75
0.01,100.0,0.75
0.1,0.001,0.9117647058823529
0.1,0.01,0.9558823529411765
0.1,0.1,0.8823529411764706
0.1,0.5,0.75
0.1,1.0,0.75
0.1,2.0,0.75
0.1,5.0,0.75
0.1,10.0,0.75
0.1,50.0,0.75
0.1,100.0,0.75
1.0,0.001,0.9558823529411765
1.0,0.01,0.9705882352941176
1.0,0.1,0.9264705882352942
1.0,0.5,0.8529411764705882
1.0,1.0,0.75
1.0,2.0,0.75
1.0,5.0,0.75
1.0,10.0,0.75
1.0,50.0,0.75
1.0,100.0,0.75
10.0,0.001,0.9705882352941176
10.0,0.01,0.9705882352941176
10.0,0.1,0.9264705882352942
10.0,0.5,0.8382352941176471
10.0,1.0,0.7647058823529411
10.0,2.0,0.75
10.0,5.0,0.75
10.0,10.0,0.75
10.0,50.0,0.75
10.0,100.0,0.75
50.0,0.001,0.9705882352941176
50.0,0.01,0.9852941176470589
50.0,0.1,0.9264705882352942
50.0,0.5,0.8382352941176471
50.0,1.0,0.7647058823529411
50.0,2.0,0.75
50.0,5.0,0.75
50.0,10.0,0.75
50.0,50.0,0.75
50.0,100.0,0.75
100.0,0.001,0.9705882352941176
100.0,0.01,0.9705882352941176
100.0,0.1,0.9264705882352942
100.0,0.5,0.8382352941176471
100.0,1.0,0.7647058823529411
100.0,2.0,0.75
100.0,5.0,0.75
100.0,10.0,0.75
100.0,50.0,0.75
100.0,100.0,0.75
500.0,0.001,0.9852941176470589
500.0,0.01,0.9558823529411765
500.0,0.1,0.9264705882352942
500.0,0.5,0.8382352941176471
500.0,1.0,0.7647058823529411
500.0,2.0,0.75
500.0,5.0,0.75
500.0,10.0,0.75
500.0,50.0,0.75
500.0,100.0,0.75
1000.0,0.001,0.9852941176470589
1000.0,0.01,0.9558823529411765
1000.0,0.1,0.9264705882352942
1000.0,0.5,0.8382352941176471
1000.0,1.0,0.7647058823529411
1000.0,2.0,0.75
1000.0,5.0,0.75
1000.0,10.0,0.75
1000.0,50.0,0.75
1000.0,100.0,0.75
